θ   T
0.9987  2.2730
0.9519	2.2635
0.9116	2.2539
0.8597	2.2455
0.8224	2.2349
0.7866	2.2303
0.7559	2.2253
0.7159	2.2213
0.6924	2.2190
0.6681	2.2091
0.6463	2.2064
0.6171	2.2061
0.5985	2.2064
0.5800	2.2000
0.5637	2.1939
0.5398	2.1939
0.5253	2.1909
0.5116	2.1909
0.4978	2.1878
0.4791	2.1873
0.4681	2.1848
0.4578	2.1818
0.4421	2.1818
0.4311	2.1818
0.4225	2.1787
0.4128	2.1818
0.4000	2.1787
0.3906	2.1788
0.3840	2.1757
0.3721	2.1757
0.3648	2.1727
0.3569	2.1727
0.3477	2.1727
0.3409	2.1727
0.3337	2.1696
0.3295	2.1727
0.3194	2.1727
0.3142	2.1696
0.3068	2.1697
0.2991	2.1696
0.2941	2.1666
0.2897	2.1697
0.2829	2.1667
0.2789	2.1697
0.2730	2.1666
0.2669	2.1636
0.2616	2.1666
0.2576	2.1636
0.2532	2.1636
0.2478	2.1623
0.2431	2.1666
0.2409	2.1636
0.2358	2.1636
0.2314	2.1636
0.2271	2.1636
0.2210	2.1636
0.2190	2.1636
0.2155	2.1667
0.2108	2.1636
0.2087	2.1636
0.2063	2.1636
0.2042	2.1636
0.1986	2.1636
0.1960	2.1636
0.1927	2.1636
0.1899	2.1594
0.1869	2.1636
0.1840	2.1636
0.1801	2.1605
0.1768	2.1606
0.1758	2.1605
0.1726	2.1636
0.1692	2.1606
0.1667	2.1605
0.1648	2.1636
0.1629	2.1605
0.1596	2.1606
0.1575	2.1636
0.1561	2.1606
0.1529	2.1576
0.1517	2.1605
0.1489	2.1565
0.1478	2.1606
0.1441	2.1606
0.1429	2.1606
0.1407	2.1605
0.1396	2.1576
0.1380	2.1606
0.1366	2.1605
0.1343	2.1652
0.1307	2.1575
0.1307	2.1606
0.1285	2.1576
